unix_ts,iso_ts,index,name,clocks_sm_mhz,clocks_mem_mhz,power_w,util_gpu_pct,memory_used_mib,temperature_c
1784555089.154678,2026-07-20T15:44:49+02:00,1, NVIDIA L4, 210, 405, 15.92, 0, 0, 34
1784555094.290378,2026-07-20T15:44:54+02:00,1, NVIDIA L4, 210, 405, 15.93, 0, 0, 34
1784555099.420712,2026-07-20T15:44:59+02:00,1, NVIDIA L4, 210, 405, 15.94, 0, 0, 34
1784555104.560331,2026-07-20T15:45:04+02:00,1, NVIDIA L4, 210, 405, 15.94, 0, 0, 34
1784555109.693156,2026-07-20T15:45:09+02:00,1, NVIDIA L4, 210, 405, 15.93, 0, 0, 34
1784555114.828144,2026-07-20T15:45:14+02:00,1, NVIDIA L4, 2040, 6251, 27.01, 4, 14131, 36
1784555119.963118,2026-07-20T15:45:19+02:00,1, NVIDIA L4, 2040, 6251, 27.34, 5, 14131, 37
1784555125.097327,2026-07-20T15:45:25+02:00,1, NVIDIA L4, 2040, 6251, 27.45, 5, 14131, 38
1784555130.234453,2026-07-20T15:45:30+02:00,1, NVIDIA L4, 2040, 6251, 27.11, 0, 14095, 38
1784555135.364633,2026-07-20T15:45:35+02:00,1, NVIDIA L4, 2040, 6251, 26.91, 0, 14095, 39
1784555140.502127,2026-07-20T15:45:40+02:00,1, NVIDIA L4, 2040, 6251, 34.13, 0, 14569, 40
1784555145.644917,2026-07-20T15:45:45+02:00,1, NVIDIA L4, 1830, 6251, 68.42, 80, 20575, 45
1784555150.789585,2026-07-20T15:45:50+02:00,1, NVIDIA L4, 2040, 6251, 33.05, 0, 21079, 44
1784555155.928442,2026-07-20T15:45:55+02:00,1, NVIDIA L4, 2040, 6251, 27.48, 0, 21079, 43
1784555161.063927,2026-07-20T15:46:01+02:00,1, NVIDIA L4, 2040, 6251, 27.38, 0, 21079, 43
1784555166.200605,2026-07-20T15:46:06+02:00,1, NVIDIA L4, 1830, 6251, 54.07, 100, 21081, 47
1784555171.364435,2026-07-20T15:46:11+02:00,1, NVIDIA L4, 1740, 6251, 72.08, 100, 21081, 49
1784555176.531922,2026-07-20T15:46:16+02:00,1, NVIDIA L4, 1110, 6251, 71.90, 100, 21083, 53
1784555181.676511,2026-07-20T15:46:21+02:00,1, NVIDIA L4, 1110, 6251, 72.18, 100, 21083, 55
1784555186.821088,2026-07-20T15:46:26+02:00,1, NVIDIA L4, 1335, 6251, 71.71, 100, 21195, 54
1784555191.971328,2026-07-20T15:46:31+02:00,1, NVIDIA L4, 1080, 6251, 72.31, 100, 21195, 57
1784555197.118639,2026-07-20T15:46:37+02:00,1, NVIDIA L4, 1080, 6251, 72.00, 100, 21195, 58
1784555202.266161,2026-07-20T15:46:42+02:00,1, NVIDIA L4, 1410, 6251, 71.97, 100, 21195, 59
1784555207.428129,2026-07-20T15:46:47+02:00,1, NVIDIA L4, 1455, 6251, 71.75, 100, 21195, 60
1784555212.579384,2026-07-20T15:46:52+02:00,1, NVIDIA L4, 1455, 6251, 72.24, 100, 21195, 61
1784555217.731696,2026-07-20T15:46:57+02:00,1, NVIDIA L4, 1035, 6251, 71.34, 100, 21195, 63
1784555222.874972,2026-07-20T15:47:02+02:00,1, NVIDIA L4, 1095, 6251, 71.91, 100, 21195, 63
1784555228.020483,2026-07-20T15:47:08+02:00,1, NVIDIA L4, 1395, 6251, 72.47, 100, 21195, 63
1784555233.167459,2026-07-20T15:47:13+02:00,1, NVIDIA L4, 1410, 6251, 72.03, 100, 21195, 64
1784555238.310024,2026-07-20T15:47:18+02:00,1, NVIDIA L4, 1065, 6251, 73.04, 100, 21195, 65
1784555243.449717,2026-07-20T15:47:23+02:00,1, NVIDIA L4, 1365, 6251, 71.95, 100, 21195, 65
1784555248.598538,2026-07-20T15:47:28+02:00,1, NVIDIA L4, 1515, 6251, 71.79, 100, 21195, 65
1784555253.752575,2026-07-20T15:47:33+02:00,1, NVIDIA L4, 2040, 6251, 34.03, 0, 21195, 62
1784555258.883681,2026-07-20T15:47:38+02:00,1, NVIDIA L4, 2040, 6251, 29.64, 0, 21195, 60
1784555264.017908,2026-07-20T15:47:44+02:00,1, NVIDIA L4, 1260, 6251, 38.26, 100, 21195, 63
1784555269.179794,2026-07-20T15:47:49+02:00,1, NVIDIA L4, 1635, 6251, 72.18, 100, 21195, 64
1784555274.333355,2026-07-20T15:47:54+02:00,1, NVIDIA L4, 1035, 6251, 72.10, 100, 21195, 66
1784555279.470300,2026-07-20T15:47:59+02:00,1, NVIDIA L4, 975, 6251, 70.13, 100, 21195, 67
1784555284.608904,2026-07-20T15:48:04+02:00,1, NVIDIA L4, 1365, 6251, 71.67, 100, 21195, 66
1784555289.749949,2026-07-20T15:48:09+02:00,1, NVIDIA L4, 1425, 6251, 72.32, 100, 21195, 67
1784555294.893715,2026-07-20T15:48:14+02:00,1, NVIDIA L4, 1455, 6251, 72.08, 100, 21195, 68
1784555300.041701,2026-07-20T15:48:20+02:00,1, NVIDIA L4, 1050, 6251, 71.81, 100, 21195, 69
1784555305.179451,2026-07-20T15:48:25+02:00,1, NVIDIA L4, 1050, 6251, 72.12, 100, 21195, 70
