method,scope,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,missed_saturation_rate_pct_mean,missed_saturation_rate_pct_std,false_block_rate_pct_mean,false_block_rate_pct_std,admit_rate_pct_mean,admit_rate_pct_std
local_base_50,all,0.9812915166398465,0.0030384839463525755,0.9883743341486084,0.002464856110317436,0.044393696476993795,0.005718066124770077,2.9409727688826357,0.8328438286017408,10.916345882132239,4.700344670611468,38.08816757011448,2.931312711352547
local_base_50,l4,0.9856829681820122,0.009177549428216216,0.9911504318735102,0.005726013048006508,0.04368809473747613,0.014879502409923534,1.6244465232585212,1.1204191834235122,12.72192320590208,7.687858420492514,33.79336738358665,2.5729485103257934
local_base_50,l40s,0.9771157371592356,0.010632681381842637,0.9846863522216406,0.0059705330814042645,0.04494694326291011,0.006563856359696704,4.558912861867847,1.961733630163606,8.689956808293774,4.4300918648429874,43.02478403148944,3.641698677317363
local_base_plus_residual,all,0.9867321601413517,0.003041227574769683,0.9907902329912215,0.00511615698159061,0.04025642180917054,0.005147171707178662,2.362217721111714,0.9712996494593765,9.569944535730892,3.784823183410723,38.29124692712767,2.927612244516338
local_base_plus_residual,l4,0.9903046613090826,0.0078086980500135465,0.9940250193497944,0.005114518371965043,0.039884678178567924,0.009481099129505049,1.041811336662939,1.023343749170388,11.388925217974514,5.5390737699396695,34.00880861872588,3.7078612767761063
local_base_plus_residual,l40s,0.98059152493358,0.006633820239298633,0.9847492444165056,0.009658289723451197,0.040746034222587636,0.005275632469780244,4.017482461282516,1.5921415211060452,7.682561966646726,2.587687302453082,43.13235861283579,2.2683069487881
local_retrained_75,all,0.9881067032681049,0.0019129875465993,0.9926417115376541,0.0025189695829980875,0.037757250214845044,0.003979305786727414,2.362217721111714,0.9712996494593765,9.790388913655585,3.678575295634637,38.21528303957456,3.1283017739572214
local_retrained_75,l4,0.9913769833769874,0.006169239740108301,0.9945290022573406,0.004801967842739732,0.037656380348559414,0.009891611710018332,1.041811336662939,1.023343749170388,13.036401743796109,6.5429581733928055,33.452620818266055,4.409932159363684
local_retrained_75,l40s,0.9857085703939468,0.005229620615241018,0.9905991581421423,0.002785356168025192,0.03762340441410651,0.006522266768647336,4.017482461282516,1.5921415211060452,6.687841210881236,1.405681661067248,43.57152906864149,1.908198227729394
shared_base,all,0.9773483158578113,0.003125347102917088,0.9853281242779672,0.004149004604192846,0.057976708402023694,0.007151238329438944,2.934066161561632,1.2641577272982278,16.688195887276088,8.22671488940585,35.731488229330466,3.815498801473575
shared_base,l4,0.9857461481229335,0.007554280425640151,0.9913538337405974,0.005824526291931617,0.05709253263824106,0.011189418873814624,1.8491656243821168,1.1074545328950713,18.154183433936954,10.579570268824815,31.870372756069962,3.324187217998365
shared_base,l40s,0.971347145380809,0.004338934635987396,0.9796870695758578,0.004128441459520765,0.058543992220786434,0.008316462363112277,4.277222721022777,2.1166122575975064,14.652329629296915,8.729856869627929,40.231552672481,4.877858999447458
shared_plus_gpu_adapter,all,0.9831729011600681,0.005813716329421566,0.9880480515506875,0.006445357830480245,0.049827889997659594,0.008543966426751473,2.2623123013633863,1.3380918935736201,13.692000682314946,5.55030655302245,36.53252957225971,2.993142031490903
shared_plus_gpu_adapter,l4,0.9913061835160425,0.004554449097115692,0.9947574559801895,0.0035086812218455533,0.04941129515704169,0.010012736321869005,1.2608183281140288,0.9271648160995964,17.59394701542589,8.2786452178974,31.761592194659624,3.7299085346419147
shared_plus_gpu_adapter,l40s,0.9754541121676745,0.009604455453343713,0.9805384263140979,0.010830067980940803,0.050229403958951965,0.007731948967841591,3.498001941801997,2.010435070839294,9.708391567972445,4.244631642091468,41.95514608393101,2.6994017680821107
