seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,31.932991,12,1952.308268,1125.891018,3078.199286,0.855055357,96.395584,256.516607
2,short_ramp,35.09787,48,2233.624966,1229.582386,3463.207352,0.962002042,98.672865,72.150153
3,prefill_shift,31.178053,36,2024.511189,1176.531524,3201.042714,0.889178532,102.669744,88.917853
4,decode_shift,44.976649,24,3235.470136,1921.677025,5157.147161,1.432540878,114.662769,214.881132
5,sudden_burst,29.712295,80,2260.799045,1185.603031,3446.402076,0.95733391,115.992457,43.080026
6,short_recovery,34.413919,24,2088.312273,1233.365581,3321.677854,0.922688293,96.521348,138.403244
7,long_prefill,30.978098,24,2177.492748,1181.820895,3359.313643,0.933142679,108.441573,139.971402
8,mixed_pressure,47.133374,30,3130.985073,2058.115053,5189.100125,1.441416701,110.093967,172.970004
9,quiet_window,31.130021,12,1918.31005,1140.348815,3058.658866,0.849627463,98.254313,254.888239
10,prefill_peak,32.106636,20,2742.941261,1155.336502,3898.277764,1.082854934,121.416576,194.913888
11,decode_peak,89.092648,10,6117.544649,4554.129754,10671.674403,2.964354001,119.781762,1067.16744
12,final_recovery,33.663149,12,2006.011089,1199.62001,3205.631099,0.890453083,95.226715,267.135925
