seq,workload_id,scheduled_energy_j,auto_dvfs_energy_j,scheduled_saving_j,scheduled_saving_pct,scheduled_avg_power_w,auto_dvfs_avg_power_w,scheduled_p99_ttft_ms,auto_dvfs_p99_ttft_ms,scheduled_p99_tpot_ms,auto_dvfs_p99_tpot_ms,scheduled_slo_ok,auto_dvfs_slo_ok
1,steady_start,3078.199286,3889.788434,811.589148,20.864609008192655,96.395584,127.281837,280.99,274.27,64.8,58.07,True,True
2,short_ramp,3463.207352,4105.253256,642.0459040000001,15.639617435577769,98.672865,134.622553,412.03,386.41,69.31,59.67,True,True
3,prefill_shift,3201.042714,4434.77402,1233.7313059999997,27.819485286873757,102.669744,131.718543,433.72,448.25,65.08,59.78,True,True
4,decode_shift,5157.147161,5596.895434,439.74827300000015,7.857003551086893,114.662769,135.933217,292.17,288.5,64.39,60.47,True,True
5,sudden_burst,3446.402076,4255.059552,808.6574759999999,19.00461006755846,115.992457,140.877405,405.65,432.21,66.63,62.22,True,True
6,short_recovery,3321.677854,4134.890846,813.2129920000002,19.667096963071806,96.521348,130.569539,362.87,337.39,66.3,58.67,True,True
7,long_prefill,3359.313643,4671.225211,1311.911568,28.08495648873137,108.441573,133.306283,485.07,499.21,68.33,61.1,True,True
8,mixed_pressure,5189.100125,5790.368723,601.2685979999997,10.383943178120811,110.093967,136.527663,413.7,335.15,66.51,61.8,True,True
9,quiet_window,3058.658866,4233.760806,1175.10194,27.7555108530144,98.254313,126.370516,262.33,253.11,64.75,58.21,True,True
10,prefill_peak,3898.277764,3831.051061,-67.22670299999982,-1.7547848339680434,121.416576,134.805325,612.33,639.61,68.73,62.75,False,False
11,decode_peak,10671.674403,12403.918732,1732.2443289999992,13.9652989222761,119.781762,140.049753,248.92,242.76,64.63,60.6,True,True
12,final_recovery,3205.631099,3870.393265,664.762166,17.175571588847315,95.226715,126.913865,277.75,262.86,62.53,58.51,True,True
