seq,workload_id,gate_on_status,gate_off_status,gate_on_l40s_mhz,gate_off_l40s_mhz,gate_on_l4_mhz,gate_off_l4_mhz,gate_on_p99_ttft_ms,gate_off_p99_ttft_ms,gate_on_p99_tpot_ms,gate_off_p99_tpot_ms,gate_on_slo_ok,gate_off_slo_ok,gate_on_energy_j,gate_off_energy_j,gate_on_avg_power_w,gate_off_avg_power_w
1,steady_start,OK,OK,480,480,360,360,280.99,279.99,64.80,64.73,true,true,3078.199286,2849.757974,96.395584,98.970018
2,short_ramp,OK,OK,210,210,360,360,412.03,434.02,69.31,69.33,true,true,3463.207352,3423.632879,98.672865,99.213583
3,prefill_shift,OK,OK,480,480,570,570,433.72,472.62,65.08,65.18,true,true,3201.042714,3293.825771,102.669744,100.008924
4,decode_shift,OVERLOAD_FALLBACK,OK,2265,210,780,360,292.17,361.67,64.39,73.39,true,true,5157.147161,4766.994517,114.662769,101.973508
5,sudden_burst,OVERLOAD_FALLBACK,OVERLOAD_FALLBACK,1755,1755,780,780,405.65,474.85,66.63,66.82,true,true,3446.402076,3451.911993,115.992457,111.434910
6,short_recovery,OK,OK,210,210,360,360,362.87,451.49,66.30,66.25,true,true,3321.677854,3298.958062,96.521348,97.339670
7,long_prefill,OVERLOAD_FALLBACK,OVERLOAD_FALLBACK,1755,1755,570,570,485.07,621.74,68.33,68.23,true,false,3359.313643,3551.405552,108.441573,108.822135
8,mixed_pressure,OVERLOAD_FALLBACK,OK,1755,480,780,780,413.70,414.15,66.51,66.47,true,true,5189.100125,5023.289229,110.093967,106.036363
9,quiet_window,OK,OK,480,480,360,360,262.33,273.52,64.75,64.79,true,true,3058.658866,3053.823026,98.254313,98.887676
10,prefill_peak,OVERLOAD_FALLBACK,OVERLOAD_FALLBACK,2520,2520,780,780,612.33,744.48,68.73,68.79,false,false,3898.277764,3980.108471,121.416576,122.463810
11,decode_peak,OVERLOAD_FALLBACK,OK,2265,210,780,570,248.92,280.57,64.63,67.24,true,true,10671.674403,9891.771993,119.781762,109.378300
12,final_recovery,OK,OK,210,210,570,570,277.75,287.32,62.53,62.48,true,true,3205.631099,3294.730837,95.226715,95.031462
